prod_id,subcategory_id,sub_category_desc,category_id,category_desc,brand_desc,category_desc_eng
145519008,93970,IOGURTE BIFIDUS LIQ,95854,IOGURTE SAUDE,ACTIVIA,YOGURT HEALTH
145519009,93970,IOGURTE BIFIDUS LIQ,95854,IOGURTE SAUDE,ACTIVIA,YOGURT HEALTH
145519010,93970,IOGURTE BIFIDUS LIQ,95854,IOGURTE SAUDE,ACTIVIA,YOGURT HEALTH
145519011,93970,IOGURTE BIFIDUS LIQ,95854,IOGURTE SAUDE,ACTIVIA,YOGURT HEALTH
145519012,93970,IOGURTE BIFIDUS LIQ,95854,IOGURTE SAUDE,ACTIVIA,YOGURT HEALTH
148066012,93989,OUT IOGURTES ESPECIA,95856,IOGURTE ESPECIALIDADES,CORPOS DANONE,YOGURT SPECIALTIES
152576008,93968,IOGURTE BIFIDUS MAGR,95854,IOGURTE SAUDE,ACTIVIA,YOGURT HEALTH
152576009,93968,IOGURTE BIFIDUS MAGR,95854,IOGURTE SAUDE,ACTIVIA,YOGURT HEALTH
152576010,93968,IOGURTE BIFIDUS MAGR,95854,IOGURTE SAUDE,ACTIVIA,YOGURT HEALTH
152576011,93968,IOGURTE BIFIDUS MAGR,95854,IOGURTE SAUDE,ACTIVIA,YOGURT HEALTH
152748011,93977,IOGURTE MAGRO AROMA,95854,IOGURTE SAUDE,LONGA VIDA,YOGURT HEALTH
152748012,93977,IOGURTE MAGRO AROMA,95854,IOGURTE SAUDE,LONGA VIDA,YOGURT HEALTH
152761004,93992,IOGURTE LIQUIDO,95857,IOGURTE BEBIDA,DAN UP,YOGURT DRINK
152761005,93992,IOGURTE LIQUIDO,95857,IOGURTE BEBIDA,DAN UP,YOGURT DRINK
152761006,93992,IOGURTE LIQUIDO,95857,IOGURTE BEBIDA,DAN UP,YOGURT DRINK
152761007,93992,IOGURTE LIQUIDO,95857,IOGURTE BEBIDA,DAN UP,YOGURT DRINK
152761009,93992,IOGURTE LIQUIDO,95857,IOGURTE BEBIDA,DAN UP,YOGURT DRINK
152761010,93992,IOGURTE LIQUIDO,95857,IOGURTE BEBIDA,DAN UP,YOGURT DRINK
152761012,93992,IOGURTE LIQUIDO,95857,IOGURTE BEBIDA,DAN UP,YOGURT DRINK
153561012,93987,IOGURTE CRIANCA AROM,95855,IOGURTE CRIANCA,YOCO,YOGURT CHILD
153701005,93970,IOGURTE BIFIDUS LIQ,95854,IOGURTE SAUDE,ACTIVIA,YOGURT HEALTH
153701006,93970,IOGURTE BIFIDUS LIQ,95854,IOGURTE SAUDE,ACTIVIA,YOGURT HEALTH
153701007,93970,IOGURTE BIFIDUS LIQ,95854,IOGURTE SAUDE,ACTIVIA,YOGURT HEALTH
153701008,93970,IOGURTE BIFIDUS LIQ,95854,IOGURTE SAUDE,ACTIVIA,YOGURT HEALTH
153701009,93970,IOGURTE BIFIDUS LIQ,95854,IOGURTE SAUDE,ACTIVIA,YOGURT HEALTH
153701010,93970,IOGURTE BIFIDUS LIQ,95854,IOGURTE SAUDE,ACTIVIA,YOGURT HEALTH
153701011,93970,IOGURTE BIFIDUS LIQ,95854,IOGURTE SAUDE,ACTIVIA,YOGURT HEALTH
153701012,93970,IOGURTE BIFIDUS LIQ,95854,IOGURTE SAUDE,ACTIVIA,YOGURT HEALTH
153721011,93989,OUT IOGURTES ESPECIA,95856,IOGURTE ESPECIALIDADES,NESTLE,YOGURT SPECIALTIES
156282009,93975,IOGURTE MAGRO LIQUID,95854,IOGURTE SAUDE,YOGGI,YOGURT HEALTH
156282010,93975,IOGURTE MAGRO LIQUID,95854,IOGURTE SAUDE,YOGGI,YOGURT HEALTH
156283011,91791,IOG DEFESAS ACTIVAS,95854,IOGURTE SAUDE,ACTIMEL,YOGURT HEALTH
156283012,91791,IOG DEFESAS ACTIVAS,95854,IOGURTE SAUDE,ACTIMEL,YOGURT HEALTH
156284010,90541,IOG S/LACTOSE SÓLID,95854,IOGURTE SAUDE,ACTIVIA,YOGURT HEALTH
156284011,90541,IOG S/LACTOSE SÓLID,95854,IOGURTE SAUDE,ACTIVIA,YOGURT HEALTH
156284012,90541,IOG S/LACTOSE SÓLID,95854,IOGURTE SAUDE,ACTIVIA,YOGURT HEALTH
156381010,93992,IOGURTE LIQUIDO,95857,IOGURTE BEBIDA,YOGGI,YOGURT DRINK
156953010,93989,OUT IOGURTES ESPECIA,95856,IOGURTE ESPECIALIDADES,OIKOS,YOGURT SPECIALTIES
156953011,93989,OUT IOGURTES ESPECIA,95856,IOGURTE ESPECIALIDADES,OIKOS,YOGURT SPECIALTIES
156953012,93989,OUT IOGURTES ESPECIA,95856,IOGURTE ESPECIALIDADES,OIKOS,YOGURT SPECIALTIES
158284005,93975,IOGURTE MAGRO LIQUID,95854,IOGURTE SAUDE,CORPOS DANONE,YOGURT HEALTH
158284006,93975,IOGURTE MAGRO LIQUID,95854,IOGURTE SAUDE,CORPOS DANONE,YOGURT HEALTH
158284007,93975,IOGURTE MAGRO LIQUID,95854,IOGURTE SAUDE,CORPOS DANONE,YOGURT HEALTH
158284008,93975,IOGURTE MAGRO LIQUID,95854,IOGURTE SAUDE,CORPOS DANONE,YOGURT HEALTH
158284009,93975,IOGURTE MAGRO LIQUID,95854,IOGURTE SAUDE,CORPOS DANONE,YOGURT HEALTH
158284010,93975,IOGURTE MAGRO LIQUID,95854,IOGURTE SAUDE,CORPOS DANONE,YOGURT HEALTH
158284011,93975,IOGURTE MAGRO LIQUID,95854,IOGURTE SAUDE,CORPOS DANONE,YOGURT HEALTH
158284012,93975,IOGURTE MAGRO LIQUID,95854,IOGURTE SAUDE,CORPOS DANONE,YOGURT HEALTH
158831006,93992,IOGURTE LIQUIDO,95857,IOGURTE BEBIDA,YOGGI,YOGURT DRINK
158831007,93992,IOGURTE LIQUIDO,95857,IOGURTE BEBIDA,YOGGI,YOGURT DRINK
158831009,93992,IOGURTE LIQUIDO,95857,IOGURTE BEBIDA,YOGGI,YOGURT DRINK
158831010,93992,IOGURTE LIQUIDO,95857,IOGURTE BEBIDA,YOGGI,YOGURT DRINK
158831011,93992,IOGURTE LIQUIDO,95857,IOGURTE BEBIDA,YOGGI,YOGURT DRINK
162500009,93975,IOGURTE MAGRO LIQUID,95854,IOGURTE SAUDE,PRIVATE LABEL,YOGURT HEALTH
162500010,93975,IOGURTE MAGRO LIQUID,95854,IOGURTE SAUDE,PRIVATE LABEL,YOGURT HEALTH
162500011,93975,IOGURTE MAGRO LIQUID,95854,IOGURTE SAUDE,PRIVATE LABEL,YOGURT HEALTH
162500012,93975,IOGURTE MAGRO LIQUID,95854,IOGURTE SAUDE,PRIVATE LABEL,YOGURT HEALTH
162651011,93985,IOGURTE CRIANCA LIQ,95855,IOGURTE CRIANCA,BONGO,YOGURT CHILD
162651012,93985,IOGURTE CRIANCA LIQ,95855,IOGURTE CRIANCA,BONGO,YOGURT CHILD
173660012,91730,B SOJA UHT AROMATIZ,95405,BEBIDAS DE SOJA UHT,ALPRO,UHT SOY DRINKS
177330011,90540,IOG S/LACTOSE LIQUID,95854,IOGURTE SAUDE,YOGGI,YOGURT HEALTH
177330012,90540,IOG S/LACTOSE LIQUID,95854,IOGURTE SAUDE,YOGGI,YOGURT HEALTH
177402006,93975,IOGURTE MAGRO LIQUID,95854,IOGURTE SAUDE,PRIVATE LABEL,YOGURT HEALTH
177402007,93975,IOGURTE MAGRO LIQUID,95854,IOGURTE SAUDE,PRIVATE LABEL,YOGURT HEALTH
177402008,93975,IOGURTE MAGRO LIQUID,95854,IOGURTE SAUDE,PRIVATE LABEL,YOGURT HEALTH
177402009,93975,IOGURTE MAGRO LIQUID,95854,IOGURTE SAUDE,PRIVATE LABEL,YOGURT HEALTH
177402010,93975,IOGURTE MAGRO LIQUID,95854,IOGURTE SAUDE,PRIVATE LABEL,YOGURT HEALTH
177402011,93975,IOGURTE MAGRO LIQUID,95854,IOGURTE SAUDE,PRIVATE LABEL,YOGURT HEALTH
178662011,90540,IOG S/LACTOSE LIQUID,95854,IOGURTE SAUDE,MIMOSA,YOGURT HEALTH
178662012,90540,IOG S/LACTOSE LIQUID,95854,IOGURTE SAUDE,MIMOSA,YOGURT HEALTH
178708011,93975,IOGURTE MAGRO LIQUID,95854,IOGURTE SAUDE,MIMOSA,YOGURT HEALTH
178708012,93975,IOGURTE MAGRO LIQUID,95854,IOGURTE SAUDE,MIMOSA,YOGURT HEALTH
178718007,93975,IOGURTE MAGRO LIQUID,95854,IOGURTE SAUDE,MIMOSA,YOGURT HEALTH
178718008,93975,IOGURTE MAGRO LIQUID,95854,IOGURTE SAUDE,MIMOSA,YOGURT HEALTH
178718009,93975,IOGURTE MAGRO LIQUID,95854,IOGURTE SAUDE,MIMOSA,YOGURT HEALTH
178718010,93975,IOGURTE MAGRO LIQUID,95854,IOGURTE SAUDE,MIMOSA,YOGURT HEALTH
178718012,93975,IOGURTE MAGRO LIQUID,95854,IOGURTE SAUDE,MIMOSA,YOGURT HEALTH
178720011,93992,IOGURTE LIQUIDO,95857,IOGURTE BEBIDA,MIMOSA,YOGURT DRINK
178720012,93992,IOGURTE LIQUIDO,95857,IOGURTE BEBIDA,MIMOSA,YOGURT DRINK
178722008,93992,IOGURTE LIQUIDO,95857,IOGURTE BEBIDA,MIMOSA,YOGURT DRINK
178722009,93992,IOGURTE LIQUIDO,95857,IOGURTE BEBIDA,MIMOSA,YOGURT DRINK
178722010,93992,IOGURTE LIQUIDO,95857,IOGURTE BEBIDA,MIMOSA,YOGURT DRINK
178722011,93992,IOGURTE LIQUIDO,95857,IOGURTE BEBIDA,MIMOSA,YOGURT DRINK
178722012,93992,IOGURTE LIQUIDO,95857,IOGURTE BEBIDA,MIMOSA,YOGURT DRINK
178732004,93992,IOGURTE LIQUIDO,95857,IOGURTE BEBIDA,ADAGIO,YOGURT DRINK
178732005,93992,IOGURTE LIQUIDO,95857,IOGURTE BEBIDA,ADAGIO,YOGURT DRINK
178732006,93992,IOGURTE LIQUIDO,95857,IOGURTE BEBIDA,ADAGIO,YOGURT DRINK
178732009,93992,IOGURTE LIQUIDO,95857,IOGURTE BEBIDA,ADAGIO,YOGURT DRINK
178732011,93992,IOGURTE LIQUIDO,95857,IOGURTE BEBIDA,ADAGIO,YOGURT DRINK
178732012,93992,IOGURTE LIQUIDO,95857,IOGURTE BEBIDA,ADAGIO,YOGURT DRINK
178738006,93975,IOGURTE MAGRO LIQUID,95854,IOGURTE SAUDE,ADAGIO,YOGURT HEALTH
178738007,93975,IOGURTE MAGRO LIQUID,95854,IOGURTE SAUDE,ADAGIO,YOGURT HEALTH
178738008,93975,IOGURTE MAGRO LIQUID,95854,IOGURTE SAUDE,ADAGIO,YOGURT HEALTH
178738009,93975,IOGURTE MAGRO LIQUID,95854,IOGURTE SAUDE,ADAGIO,YOGURT HEALTH
178738010,93975,IOGURTE MAGRO LIQUID,95854,IOGURTE SAUDE,ADAGIO,YOGURT HEALTH
178738011,93975,IOGURTE MAGRO LIQUID,95854,IOGURTE SAUDE,ADAGIO,YOGURT HEALTH
178738012,93975,IOGURTE MAGRO LIQUID,95854,IOGURTE SAUDE,ADAGIO,YOGURT HEALTH
178743009,93989,OUT IOGURTES ESPECIA,95856,IOGURTE ESPECIALIDADES,ADAGIO,YOGURT SPECIALTIES
178743012,93989,OUT IOGURTES ESPECIA,95856,IOGURTE ESPECIALIDADES,ADAGIO,YOGURT SPECIALTIES
178744009,93989,OUT IOGURTES ESPECIA,95856,IOGURTE ESPECIALIDADES,ADAGIO,YOGURT SPECIALTIES
178744011,93989,OUT IOGURTES ESPECIA,95856,IOGURTE ESPECIALIDADES,ADAGIO,YOGURT SPECIALTIES
178744012,93989,OUT IOGURTES ESPECIA,95856,IOGURTE ESPECIALIDADES,ADAGIO,YOGURT SPECIALTIES
180440005,93971,IOGURTE BIFIDUS PED,95854,IOGURTE SAUDE,ACTIVIA,YOGURT HEALTH
180440006,93971,IOGURTE BIFIDUS PED,95854,IOGURTE SAUDE,ACTIVIA,YOGURT HEALTH
180440007,93971,IOGURTE BIFIDUS PED,95854,IOGURTE SAUDE,ACTIVIA,YOGURT HEALTH
180440008,93971,IOGURTE BIFIDUS PED,95854,IOGURTE SAUDE,ACTIVIA,YOGURT HEALTH
180440009,93971,IOGURTE BIFIDUS PED,95854,IOGURTE SAUDE,ACTIVIA,YOGURT HEALTH
180440010,93971,IOGURTE BIFIDUS PED,95854,IOGURTE SAUDE,ACTIVIA,YOGURT HEALTH
180440011,93971,IOGURTE BIFIDUS PED,95854,IOGURTE SAUDE,ACTIVIA,YOGURT HEALTH
180440012,93971,IOGURTE BIFIDUS PED,95854,IOGURTE SAUDE,ACTIVIA,YOGURT HEALTH
180484011,93989,OUT IOGURTES ESPECIA,95856,IOGURTE ESPECIALIDADES,CORPOS DANONE,YOGURT SPECIALTIES
180484012,93989,OUT IOGURTES ESPECIA,95856,IOGURTE ESPECIALIDADES,CORPOS DANONE,YOGURT SPECIALTIES
180611007,93989,OUT IOGURTES ESPECIA,95856,IOGURTE ESPECIALIDADES,NESTLE,YOGURT SPECIALTIES
180611009,93989,OUT IOGURTES ESPECIA,95856,IOGURTE ESPECIALIDADES,NESTLE,YOGURT SPECIALTIES
180611010,93989,OUT IOGURTES ESPECIA,95856,IOGURTE ESPECIALIDADES,NESTLE,YOGURT SPECIALTIES
180611011,93989,OUT IOGURTES ESPECIA,95856,IOGURTE ESPECIALIDADES,NESTLE,YOGURT SPECIALTIES
180611012,93989,OUT IOGURTES ESPECIA,95856,IOGURTE ESPECIALIDADES,NESTLE,YOGURT SPECIALTIES
184126011,93977,IOGURTE MAGRO AROMA,95854,IOGURTE SAUDE,CORPOS DANONE,YOGURT HEALTH
184126012,93977,IOGURTE MAGRO AROMA,95854,IOGURTE SAUDE,CORPOS DANONE,YOGURT HEALTH
184808010,93989,OUT IOGURTES ESPECIA,95856,IOGURTE ESPECIALIDADES,OIKOS,YOGURT SPECIALTIES
184808011,93989,OUT IOGURTES ESPECIA,95856,IOGURTE ESPECIALIDADES,OIKOS,YOGURT SPECIALTIES
184808012,93989,OUT IOGURTES ESPECIA,95856,IOGURTE ESPECIALIDADES,OIKOS,YOGURT SPECIALTIES
197953011,90540,IOG S/LACTOSE LIQUID,95854,IOGURTE SAUDE,PRIVATE LABEL,YOGURT HEALTH
197953012,90540,IOG S/LACTOSE LIQUID,95854,IOGURTE SAUDE,PRIVATE LABEL,YOGURT HEALTH
197954011,90541,IOG S/LACTOSE SÓLID,95854,IOGURTE SAUDE,PRIVATE LABEL,YOGURT HEALTH
